state,total_contracts,total_award_amount,total_unspent_balance,deobligation_count
AE,4,956822390.96,956822390.96,0
AK,334,16859168043.43,12932543515.613,0
AL,672,357575004556.06,296550131402.31,0
AR,191,15307633575.4,11311819377.524,0
AS,12,118240305.48,88340908.26,0
AZ,1171,477140483626.88,328469625927.779,0
CA,4295,1372184548948.02,1018998368675.4979,0
CO,1078,295269333403.18,223515951950.287,0
CT,432,925248005958.86,772227132757.863,0
DC,8692,270648109943.26,144305573827.76,0
DE,23,419467177.81,82826551.816,0
FL,1621,371357368869.43,283219969282.376,0
GA,1263,201494939788.14,126941852902.538,0
GU,34,8457907381.25,4585499183.322,0
HI,127,20347069837.98,18933908797.146,0
IA,240,21973064260.45,14504698733.726,0
ID,298,110110439068.7,68532654777.549995,0
IL,1075,149324840529.66,83313610348.829,0
IN,361,38663835228.23,24598642169.897,0
KS,329,45568558220.46,12406830108.878,0
KY,243,340706692567.57,249525013513.218,0
LA,463,64250316429.39,38275866637.977,0
MA,1377,365816472246.35,209770838963.851,0
MD,5202,504334165618.36,319883924912.68097,0
ME,130,123329868171.23,91156960766.788,0
MH,8,3911338006.44,3907479006.56,0
MI,597,96898215434.75,70680853282.526,0
MN,658,27149479851.26,20856200577.704998,0
MO,833,409412199708.73,192263642043.366,0
MP,25,942529625.39,886980246.1800001,0
MS,382,208305416919.37,182375368229.91,0
MT,129,3770445702.85,1604497756.6209998,0
NC,813,69695024975.27,46124811238.675,0
ND,123,14077140460.63,8751732050.567,0
NE,118,4245940213.21,2655063741.965,0
NH,113,19854257388.79,14777758587.319,0
NJ,1023,177780052047.18,114108824511.843,0
NM,638,787145136920.3099,579377961259.9711,0
NV,168,77331293825.27,53416786626.305,0
NY,1185,255587587544.2,180150253550.972,0
OH,893,70703987493.84999,40927029655.556,0
OK,615,47566661238.38,34210720823.278,0
OR,312,6586865916.5199995,2572015453.726,0
PA,1139,412948373521.48,258977785089.792,0
PR,214,14274750256.09,7094648241.42,0
RI,59,5591887581.75,3200137441.841,0
SC,590,198110408448.72998,126861457649.231,0
SD,128,2128728106.46,600798738.357,0
TN,798,517071548574.83,290065944676.02,0
TX,2731,1783586896054.24,1348209206176.502,0
UT,238,92666804186.78,89306336208.734,0
VA,8273,1031255518925.97,642981538846.428,0
VI,22,363388709.75,147831149.492,0
VT,52,6529268560.22,5898382854.104,0
WA,1063,625814145806.02,514813214769.567,0
WI,438,90485492210.88,64346665997.313995,0
WV,386,16881953067.029999,8612336231.024,0
WY,117,2178551547.96,982489302.65,0
